club_id,name,league,country,rating,attack_rating,midfield_rating,defense_rating,club_worth,club_worth_million,stadium,manager,manager_id,manager_url,starting_xi_avg_age,whole_team_avg_age,rival_team,players_count,top_players,club_logo,country_flag,url,league_id
9,Liverpool,Premier League,England,85,85,86,83,€4.7B,4700.0,Anfield,arne slot,23180,https://sofifa.com/coach/23180/arne-slot/,26.18,24.64,Manchester United,28,"83 H. Ekitiké, 88 A. Isak, 84 D. Szoboszlai, 80 C. Jones, 88 F. Wirtz",https://cdn.sofifa.net/meta/team/8/120.png,https://cdn.sofifa.net/flags/gb-eng.png,https://sofifa.com/team/9/liverpool/,13
241,FC Barcelona,La Liga,Spain,85,85,85,82,€4.9B,4900.0,El Libertador,hans dieter flick,37352367,https://sofifa.com/coach/37352367/hans-dieter-flick/,24.09,23.43,Real Madrid,28,"83 Ferran Torres, 88 R. Lewandowski, 80 Fermín, 84 Dani Olmo, 62 Dro",https://cdn.sofifa.net/meta/team/83/120.png,https://cdn.sofifa.net/flags/es.png,https://sofifa.com/team/241/fc-barcelona/,53
243,Real Madrid,La Liga,Spain,85,88,85,82,€5.8B,5800.0,Estadio Santiago Bernabéu,xabier alonso olano,511,https://sofifa.com/coach/511/xabier-alonso-olano/,24.64,24.0,FC Barcelona,30,"91 K. Mbappé, 77 Endrick, 69 Gonzalo, 90 J. Bellingham, 77 F. Mastantuono",https://cdn.sofifa.net/meta/team/3468/120.png,https://cdn.sofifa.net/flags/es.png,https://sofifa.com/team/243/real-madrid/,53
1,Arsenal,Premier League,England,84,86,84,84,€2.5B,2500.0,Emirates Stadium,mikel arteta amatriain,307,https://sofifa.com/coach/307/mikel-arteta-amatriain/,26.0,25.42,Tottenham Hotspur,24,"83 L. Trossard, 81 Gabriel Martinelli, 87 V. Gyökeres, 82 K. Havertz, 80 Gabriel Jesus",https://cdn.sofifa.net/meta/team/19/120.png,https://cdn.sofifa.net/flags/gb-eng.png,https://sofifa.com/team/1/arsenal/,13
10,Manchester City,Premier League,England,84,82,85,82,€4.6B,4600.0,Etihad Stadium,josep guardiola i sala,455361,https://sofifa.com/coach/455361/josep-guardiola-i-sala/,25.0,25.58,Manchester United,26,"81 J. Doku, 90 E. Haaland, 84 O. Marmoush, 76 O. Bobb, 81 R. Cherki",https://cdn.sofifa.net/meta/team/9/120.png,https://cdn.sofifa.net/flags/gb-eng.png,https://sofifa.com/team/10/manchester-city/,13
21,FC Bayern München,Bundesliga,Germany,84,89,85,82,€4.3B,4300.0,Allianz Arena,vincent kompany,236,https://sofifa.com/coach/236/vincent-kompany/,28.91,25.3,Bayer 04 Leverkusen,27,"89 H. Kane, 80 N. Jackson, 82 S. Gnabry, 67 L. Karl, 88 J. Musiala",https://cdn.sofifa.net/meta/team/503/120.png,https://cdn.sofifa.net/flags/de.png,https://sofifa.com/team/21/fc-bayern-munchen/,19
73,Paris Saint-Germain,Ligue 1 Uber Eats,France,84,85,84,85,€4B,4000.0,Parc des Princes,luis enrique martinez garcia,523959,https://sofifa.com/coach/523959/luis-enrique-martinez-garcia/,24.91,22.6,Olympique de Marseille,25,"84 B. Barcola, 68 Q. Ndjantou, 90 O. Dembélé, 80 Gonçalo Ramos, 87 K. Kvaratskhelia",https://cdn.sofifa.net/meta/team/591/120.png,https://cdn.sofifa.net/flags/fr.png,https://sofifa.com/team/73/paris-saint-germain/,16
44,Inter,Serie A,Italy,83,86,83,83,€985M,985.0,Waldstadion,cristian eugen chivu,127925,https://sofifa.com/coach/127925/cristian-eugen-chivu/,30.27,27.76,AC Milan,25,"C88 L. Martínez, 85 M. Thuram, 77 Y. Bonny, 74 F. Esposito, 83 H. Mkhitaryan",https://cdn.sofifa.net/meta/team/2930/120.png,https://cdn.sofifa.net/flags/it.png,https://sofifa.com/team/44/inter/,31
240,Atlético Madrid,La Liga,Spain,82,84,81,82,€1.4B,1400.0,Wanda Metropolitano,diego pablo simeone,452946,https://sofifa.com/coach/452946/diego-pablo-simeone/,27.36,26.35,Real Madrid,26,"87 J. Alvarez, 84 A. Griezmann, 83 A. Sørloth, 78 G. Raspadori, 69 Carlos Martín",https://cdn.sofifa.net/meta/team/7980/120.png,https://cdn.sofifa.net/flags/es.png,https://sofifa.com/team/240/atletico-madrid/,53
13,Newcastle United,Premier League,England,81,81,84,80,€900M,900.0,St. James' Park,eddie howe,523911,https://sofifa.com/coach/523911/eddie-howe/,27.73,26.55,Sunderland,29,"83 A. Gordon, 80 H. Barnes, 78 J. Ramsey, 80 N. Woltemade, 71 W. Osula",https://cdn.sofifa.net/meta/team/20/120.png,https://cdn.sofifa.net/flags/gb-eng.png,https://sofifa.com/team/13/newcastle-united/,13
